Размер массива,Рандомные числа,Отсортированы по невозрастанию,Почти отсортированный массив
500,83,102,94
600,112,93,87
700,107,102,95
800,114,109,101
900,121,116,109
1000,127,123,116
1100,135,131,124
1200,143,138,131
1300,150,145,139
1400,158,153,146
1500,165,160,154
1600,173,167,161
1700,180,175,169
1800,188,182,176
1900,195,190,183
2000,203,197,191
2100,211,205,198
2200,219,212,206
2300,226,220,213
2400,234,227,221
2500,241,235,228
2600,249,242,235
2700,257,250,243
2800,264,257,250
2900,272,265,258
3000,279,272,265
3100,287,280,272
3200,294,287,280
3300,302,295,287
3400,309,303,295
3500,317,310,302
3600,324,318,310
3700,332,325,317
3800,339,333,325
3900,347,340,332
4000,354,348,340
4100,362,355,347
4200,369,363,355
4300,377,370,362
4400,384,378,370
4500,392,385,377
4600,399,393,385
4700,407,401,392
4800,414,408,400
4900,422,416,407
5000,429,423,415
5100,437,431,422
5200,444,438,430
5300,452,446,437
5400,459,454,445
5500,467,461,452
5600,474,469,460
5700,482,476,467
5800,489,484,475
5900,497,491,482
6000,504,499,490
6100,512,506,497
6200,519,514,505
6300,527,521,512
6400,534,529,520
6500,542,536,527
6600,549,544,535
6700,557,551,542
6800,564,559,549
6900,572,566,557
7000,579,574,564
7100,587,581,572
7200,594,589,579
7300,602,596,587
7400,609,603,594
7500,617,611,602
7600,624,618,609
7700,632,626,617
7800,639,633,624
7900,647,641,632
8000,654,648,639
8100,662,656,647
8200,669,663,654
8300,677,671,662
8400,684,678,669
8500,692,686,677
8600,699,693,684
8700,707,701,692
8800,714,708,699
8900,722,716,707
9000,729,723,714
9100,737,731,722
9200,744,738,729
9300,752,746,737
9400,759,753,744
9500,767,761,752
9600,774,768,759
9700,782,776,767
9800,789,783,774
9900,797,791,782
10000,804,798,789
