Размер массива,Рандомные числа,Отсортированы по невозрастанию,Почти отсортированный массив
500,95,97,54
600,86,86,52
700,93,93,59
800,100,100,67
900,106,108,75
1000,113,115,83
1100,121,123,91
1200,128,130,99
1300,135,138,107
1400,142,145,115
1500,150,152,123
1600,157,160,131
1700,164,167,139
1800,171,175,147
1900,179,182,155
2000,186,190,163
2100,193,197,171
2200,201,205,179
2300,208,212,187
2400,215,220,195
2500,222,227,203
2600,230,235,211
2700,237,242,219
2800,244,249,227
2900,251,257,235
3000,259,264,243
3100,266,272,251
3200,273,279,259
3300,281,287,267
3400,288,294,275
3500,295,302,284
3600,302,309,291
3700,310,317,299
3800,317,324,307
3900,324,332,315
4000,331,339,323
4100,339,347,331
4200,346,354,340
4300,353,362,347
4400,360,369,355
4500,368,377,363
4600,375,384,371
4700,382,392,380
4800,389,399,387
4900,396,407,395
5000,404,414,403
5100,411,422,411
5200,418,429,419
5300,425,437,427
5400,433,444,435
5500,440,452,443
5600,447,459,451
5700,454,467,459
5800,462,474,467
5900,469,482,476
6000,476,489,483
6100,483,497,491
6200,491,504,499
6300,498,512,507
6400,505,519,515
6500,512,527,523
6600,520,534,531
6700,527,542,539
6800,534,549,547
6900,541,557,555
7000,549,564,563
7100,556,572,571
7200,563,579,579
7300,570,587,587
7400,578,594,595
7500,585,602,603
7600,592,609,611
7700,599,617,619
7800,607,624,627
7900,614,632,635
8000,621,639,643
8100,628,647,651
8200,636,654,659
8300,643,662,667
8400,650,669,675
8500,657,677,683
8600,665,684,691
8700,672,692,699
8800,679,699,707
8900,686,707,715
9000,694,714,723
9100,701,722,731
9200,708,729,739
9300,715,737,747
9400,723,744,755
9500,730,752,763
9600,737,759,771
9700,744,767,779
9800,752,774,787
9900,759,782,795
10000,766,789,803
