Размер массива,Рандомные числа,Отсортированы по невозрастанию,Почти отсортированный массив
500,108,76,81
600,94,84,70
700,101,92,78
800,108,99,86
900,115,107,94
1000,122,114,102
1100,128,121,110
1200,136,129,118
1300,143,136,126
1400,150,144,134
1500,157,151,143
1600,164,158,151
1700,171,166,159
1800,179,173,167
1900,186,181,175
2000,193,188,183
2100,200,195,191
2200,208,203,199
2300,215,210,207
2400,222,217,215
2500,229,225,223
2600,236,232,231
2700,244,239,239
2800,251,247,247
2900,258,254,255
3000,265,262,263
3100,272,269,271
3200,280,276,279
3300,287,284,287
3400,294,291,295
3500,301,299,303
3600,308,306,311
3700,316,313,319
3800,323,321,327
3900,330,328,335
4000,337,336,343
4100,344,343,351
4200,352,350,359
4300,359,358,367
4400,366,365,375
4500,373,373,383
4600,381,380,392
4700,388,387,399
4800,395,395,407
4900,402,402,415
5000,409,410,423
5100,417,417,431
5200,424,424,439
5300,431,432,447
5400,438,439,455
5500,445,447,463
5600,453,454,471
5700,460,461,479
5800,467,469,487
5900,474,476,495
6000,482,483,503
6100,489,491,511
6200,496,498,520
6300,503,506,528
6400,511,513,536
6500,518,520,544
6600,525,528,552
6700,532,535,560
6800,539,543,568
6900,547,550,576
7000,554,557,584
7100,561,565,592
7200,568,572,600
7300,576,580,608
7400,583,587,616
7500,590,594,624
7600,597,602,632
7700,605,609,640
7800,612,617,648
7900,619,624,656
8000,626,632,664
8100,634,639,672
8200,641,646,680
8300,648,654,688
8400,655,661,696
8500,663,669,704
8600,670,676,713
8700,677,684,721
8800,684,691,729
8900,692,698,737
9000,699,706,745
9100,706,713,753
9200,713,721,761
9300,721,728,769
9400,728,735,777
9500,735,743,785
9600,742,750,793
9700,750,758,801
9800,757,765,809
9900,764,772,817
10000,771,780,825
