Размер массива,Рандомные числа,Отсортированы по невозрастанию,Почти отсортированный массив
500,146,110,76
600,108,139,84
700,112,103,91
800,118,112,99
900,124,121,105
1000,132,128,114
1100,138,138,121
1200,145,145,129
1300,152,155,137
1400,160,160,145
1500,168,170,153
1600,175,176,160
1700,183,184,169
1800,191,192,176
1900,199,198,184
2000,206,206,192
2100,214,214,200
2200,222,222,208
2300,230,229,216
2400,238,237,224
2500,246,245,232
2600,253,253,240
2700,261,260,248
2800,270,269,256
2900,278,278,264
3000,285,286,273
3100,293,293,280
3200,301,301,288
3300,309,309,296
3400,317,317,305
3500,325,325,313
3600,333,333,320
3700,341,340,328
3800,349,348,336
3900,357,356,345
4000,365,364,353
4100,373,372,360
4200,381,380,369
4300,389,388,377
4400,397,395,385
4500,405,404,393
4600,413,412,401
4700,421,420,410
4800,429,428,418
4900,437,436,426
5000,445,444,435
5100,453,452,443
5200,461,460,451
5300,469,468,460
5400,477,476,468
5500,485,484,476
5600,493,492,484
5700,501,500,492
5800,509,507,500
5900,517,516,509
6000,525,524,517
6100,533,532,525
6200,541,540,533
6300,549,548,542
6400,557,556,550
6500,565,563,558
6600,573,572,567
6700,581,580,575
6800,589,588,583
6900,597,596,592
7000,605,604,600
7100,613,612,609
7200,621,619,616
7300,629,628,625
7400,637,635,633
7500,645,643,642
7600,653,651,650
7700,661,659,658
7800,669,667,667
7900,677,675,675
8000,685,683,684
8100,693,691,692
8200,701,699,700
8300,709,707,708
8400,717,715,716
8500,725,723,724
8600,733,731,732
8700,741,739,741
8800,749,747,748
8900,757,755,757
9000,765,763,765
9100,773,770,773
9200,781,779,781
9300,789,787,789
9400,797,795,797
9500,805,803,805
9600,813,811,813
9700,821,819,821
9800,829,827,829
9900,837,835,837
10000,845,843,845
